State,Year,Party,Candidate,Votes
NJ,2024,Republican,Trump,1966571
NM,2004,Republican,Bush,376930
NM,2008,Republican,Mccain,346832
NM,2012,Republican,Romney,335788
NM,2016,Republican,Trump,319667
NM,2020,Republican,Trump,401894
NM,2024,Republican,Trump,423391
NV,2004,Republican,Bush,418690
NV,2008,Republican,Mccain,412827
NV,2012,Republican,Romney,463567
NV,2016,Republican,Trump,512058
NV,2020,Republican,Trump,669890
NV,2024,Republican,Trump,751205
NY,2004,Republican,Bush,2962567
NY,2008,Republican,Mccain,2752771
NY,2012,Republican,Romney,2490431
NY,2016,Republican,Trump,2819533
NY,2020,Republican,Trump,3251997
NY,2024,Republican,Trump,3484124
NC,2004,Republican,Bush,1961166
NC,2008,Republican,Mccain,2128474
NC,2012,Republican,Romney,2270395
NC,2016,Republican,Trump,2362631
NC,2020,Republican,Trump,2758775
NC,2024,Republican,Trump,2898428
ND,2004,Republican,Bush,196651
ND,2008,Republican,Mccain,168601
ND,2012,Republican,Romney,188163
ND,2016,Republican,Trump,216794
ND,2020,Republican,Trump,235751
ND,2024,Republican,Trump,246505
OH,2004,Republican,Bush,2859768
OH,2008,Republican,Mccain,2677820
OH,2012,Republican,Romney,2661437
OH,2016,Republican,Trump,2841005
OH,2020,Republican,Trump,3154834
OH,2024,Republican,Trump,3121077
OK,2004,Republican,Bush,959792
OK,2008,Republican,Mccain,960165
OK,2012,Republican,Romney,891325
OK,2016,Republican,Trump,949136
OK,2020,Republican,Trump,1020280
OK,2024,Republican,Trump,1036213
OR,2004,Republican,Bush,866831
OR,2008,Republican,Mccain,738475
OR,2012,Republican,Romney,754175
OR,2016,Republican,Trump,782403
OR,2020,Republican,Trump,958448
OR,2024,Republican,Trump,910702
PA,2004,Republican,Bush,2793847
PA,2008,Republican,Mccain,2655885
PA,2012,Republican,Romney,2680434
PA,2016,Republican,Trump,2970733
PA,2020,Republican,Trump,3377674
PA,2024,Republican,Trump,3542701
RI,2004,Republican,Bush,169046
RI,2008,Republican,Mccain,165391
RI,2012,Republican,Romney,157204
RI,2016,Republican,Trump,180543
RI,2020,Republican,Trump,199922
RI,2024,Republican,Trump,214406
SC,2004,Republican,Bush,937974
SC,2008,Republican,Mccain,1034896
SC,2012,Republican,Romney,1071645
SC,2016,Republican,Trump,1155389
SC,2020,Republican,Trump,1385103
SC,2024,Republican,Trump,1483747
